zh,en
自从我受伤之后，就没...,"Wasn't I wounded, fighting for the glory of Italy?"
钱在我口袋里,- You'll find some money in my pocket. - As you wish.
是你,- So it's you.
对不起，凯瑟琳在吗？,- Ferguson. - Is Catherine here?
你不用关心,- As if you didn't know.
他不在去哪儿了？,I believe that's why you got wounded. - Where is she? - You ought to be still.
我的任务是给你量体温,Here's your chart.
你知我想见她,I must take your temperature. Does she know I'm here?
抬起胳膊,"Under the arm, please."
亲爱的,"- Hello, darling. - Catherine."
你总算来了,You're lovely.
感觉怎样？,- Are you badly hurt?
我还以为见不到你,"- You're lovely. Oh, my poor darling. It's your leg, isn't it?"
我见到了一切,- You're the loveliest thing I ever saw. - Oh...
我不许你再离开了,"I have to go now, darling, I can't stay."
我说过让你小心的,- You'll come back? - Later.
我知道,- But we have to be awfully careful. - You've got to come back.
可你回来了,"I will, when I can. - Tonight? - I'll try."
有人来了等一下,Somebody's coming. Tonight.
看看,I'll take that thermometer now.
把医生叫来,Good gracious! Fetch the doctor.
在这种高温下你还活着,It's a miracle you're not delirious with such a fever.
我没有发烧,- I haven't got any fever.
够了,"- Stay quiet, please. It's not what you think."
这是蚊子传播造成的,I have brought you a few little things.
若你一不小心，就会...,"And this is mosquito netting, and this is a bottle of vermouth. You like vermouth, huh?"
这些是用英文写的,- And these are English papers.
还不错,"- Thank you, Father. It's very good of you to come."
他们不让我来看你,"Oh, but I mustn't stay long. They warned me not to tire you."
你看上去很累,You seem very tired yourself.
我有吗？,"I am tired, but I have no right to be."
当然,- You have the war disgust.
我恨这战争,- No. But I hate the war.
我不能见所见之人,- I don't enjoy it. - But you do not mind it. You do not see it.
他们告诉我你受伤了,"Oh, you must forgive me. I know you are wounded."
否则也不让我来看你,"That was an accident. Still, even wounded, you do not see it. I can tell."
我该怎么对自己说,"I do not see it myself, but I feel it a little."
进来，凯瑟琳,"Come in, Cat."
今天好点了吗？,"Don't go yet, Father."
你的病人一早就好清醒,"It's still early. You are sure? With the operation in the morning, he should rest."
他很强壮的,"Oh, he's strong."
这种体温打不倒他的,He has such a lovely temperature. It is always normal. I'm very proud of his temperature.
可能孩子们会喜欢,"Maybe all our children will have fine temperatures, too."
我们的孩子...,Our children will probably have beastly temperatures.
知道你会调去哪儿吗？,"Don't mind us, Father. We're in love."
不知道，还没明确,I know. I could see it in your faces.
去问一下你父亲,"You approve, don't you, Father?"
他的孩子他管不了,You spoke of children.
战争把婚姻也撕毁,"This, too, is the war. Without the war, you would have married in God's grace."
仅此而已,Is it not so?
我还没想走,"I hadn't thought about it like that, but... Yes, I suppose so."
他怎么了？ 你去看看,"Father, are you..."
我祝福你们 我想通了,"Of course you realise, Father, that army regulations prevent us from marrying?"
这是自然的,They'd send Catherine home.
看，一个疯人,Poor Cat. Such a crazy marriage.
他喜欢这样,At least I'm in white.
我想他会为这奋斗 我可以感受到,No orange blossoms.
我闻得出来,I can smell them.
有音乐吗？,No organ music.
他会来的,I can hear it plainly.
对不起，我不该留下来,"It was a foolish notion, perhaps."
可能这会促成你们两个,"I have not the right to say you are married. Yet, it has made me happy to do this."
我衷心祝福你们,"For now, from my heart, I can say I bless you in His name."
再见，祝你们幸福,"Goodbye and be happy, both of you."
多谢了,"Thank you, Father."
我会想你的,- Give my regards to the mess.
希望下次来时，你已痊愈,- I will. And get well soon.
再见再见,"I will come again the next time I am in Milan. - Goodbye, my dear. - Goodbye."
巴克利在吗？,Is Miss Barkley here?
没有没有,Uh-uh.
关上门 不,Shut the door.
快点，亲爱的,"- I can't. - Please, darling."
不行，我该走了,We mustn't.
今天是我们结婚之日,"Your operation's in the morning. It's our wedding night. Oh, darling."
你得小心点,You'll have to take your oil.
我会的你叫什么？,Castor oil? No. You'll take it from me.
过来吧,- Darling. ...if you stay.
亲爱的,"Oh, darling, darling."
希望每天与你在一起,"I want what you want. There isn't any ""me"" any more, just what you want."
会有机会吗？,Don't I make a lovely wife? Such a lovely wife.
你怎么了？,Feel our hearts beat.
在欣赏你我不介意,No wonder my heart beats. I'm mad about you.
这即是那个操作手 我以前认识你 是吗？,That's the opera I made my debut in at La Scala.
多少？ 我都花过5个说谎,- They threw benches at him.
我自己都花过6个,"- That's a lie! Yes, they did. I threw six benches myself."
这可不好笑,That's not funny.
看他那生气的样子,"Oh, now he is offended. He'll get over it."
6个就不开心了,That's his sore spot.
你一点也不在乎吗？,We always tease him.
我对男人不在乎,"You don't care whom you hurt. Now, don't you get mad, too."
我在想结婚的事,Catherine and I were thinking of asking you to our wedding.
你永远不会结婚,"Weren't we, Cat?"
我们会的,"- You'll never get married. - We will! No, you won't."
在战时不可能,You'll fight before you marry.
不会的不用争了,"- Oh, we never fight. - You've time yet."
我们不会打战了那你会死,"We won't fight ever. You'll die, then."
会死的人都会死的,Fight or die. That's what people do.
巴迪,"- They don't marry. - Why, Fergy!"
我没哭,I'm not crying.
可能你们不会有事,"Maybe you'll be all right, you two."
别让她陷入麻烦中,Watch out you don't get her in trouble.
不会的,- I won't get her into trouble.
否则我杀了你,- You better not. Or I'll kill you.
巴迪,"Why, Fergy..."
她怎么了？,What is the matter with her?
她不喜欢我,"She doesn't like me, that's all."
只是喜欢我多一点,"Oh, no. She just likes me more."
你今晚怎么过？,Are you on night duty tonight?
我会来看我吧？,"Yes, but you won't care. You'll go right off to sleep."
亲爱的，你以前爱过几个？,You wait and see.
没有,"Darling, how many other girls have you ever loved?"
有多少？,"None. How many, really?"
没有,None.
有多少个... 该怎么说？,"How many have you, um..."
相爱过没有,How do you say it... Loved?
你说谎当然,- None. - You're lying to me.
那就对了，我不想你说谎,"- Of course. - Oh, that's right. You just keep right on lying, that's what I want you to do."
她们可爱吗？,Were they pretty?
我又没在意过,I have never been with anyone.
对了，亲爱的,"That's right, darling."
他们长什么样？ 我已不记得了,What were they like?
你已是我的人了，这是事实,I don't know anything about it. You're just mine.
已不属于其他人,That's true. You've never belonged to anyone else.
我怕失去你,"I don't care if you have, though."
不管以前你与多少人好过,"I'm not afraid of them. Only, don't tell me about them."
你不会说不爱我吧？,"You never told them you loved them, did you?"
我知你不会的,- No. - I knew you wouldn't.
亲爱的，我太爱你了 那么吻我吧,"- Oh, darling, I do love you."
在大街上？,"- Then, kiss me. - Right here on the street? - Yes."
我先进去,I'll go in first.
这些是什么？,So...
里面是什么？,"What is this, if I may ask? What was in it?"
那是基莫,That's kummel.
是最好的啤酒之一,That's the best kind. It comes in those bear-shaped bottles from Russia.
还有这些？,And these?
白兰地,"That's brandy, wine and whisky."
我想你的伤还没全好,And I've been pitying you for being wounded.
我真的在你身上浪费时间,Pity is something that is wasted on you.
最好你别回前线了,"- Thank you. - If you're so anxious not to go back to the front,"
我真是看错你了,I should think you'd try something more intelligent.
不过每天以酒度日,Not self-inflicted alcoholism!
我指的是酒,"- What? - I said, ""Alcoholism!"""
说不定哪天会得癌病,And I also say that I'll see your convalescent leave is cancelled.
你明天回前线去吧,You'll go back to the front tomorrow night.
火车马上要开了,Have I time for a drink before the train leaves? - For the front?
还有5分钟对,"- Yes. - About 20 minutes, Signor Capitano. - Right."
我太爱你了 怎么？,"It's a fine room, a lovely room."
我想你是对的,It's all right. The red plush is just the thing.
我们不该呆在这儿,"Those mirrors are very attractive, too."
否则大家都烦我们,People who go in for vice seem to have very good taste about it.
真聪明，亲爱的,"Hmm, you're a grand girl. Oh, darling."
我希望我们可长久在一起,I wish we could do something really simple.
我是那么的无助,Everything we do seems so innocent and right.
我也一样,"You're a fine, simple girl."
我在想,I am a simple girl. Nobody but you ever realised it.
没有人会意识到这一点 你真是个疯狂女孩,"At first, I thought you were a crazy girl."
我当然是,I was a little crazy at first.
是你的火车？,Was that your train?
可能,Maybe.
不过我不能在乎何时走,It makes up at Turin. But it stays in the station here until time to leave.
我喜欢这样,There's really lots of time.
我该何时回来 自己也说不上,"""But at my back, I always hear Time's winged chariot hurrying near"""
我明白你的心意,I know that poem.
是一个女孩的心事,"It's by Marvell. Oh, it's about a girl who wouldn't live with a man."
是雨我不喜欢雨,It's only the rain.
怎么？,I hate the rain.
我怕下雨,I like it. I'm afraid of the rain.
怕雨,"- Afraid, why?"
我有种不了的预感,"- I... - Well, perhaps it's silly."
不告诉我,- What? Tell me. - No.
好吧,- Tell me. All right.
我一见到雨，就会想到有人会死,I'm afraid of the rain because sometimes I see me dead in it.
有时见到是你死去,No! And sometimes I see you dead in it.
怎么会？,- That's more likely.
别出声,"- Oh, now, darling, don't say that."
是你的火车,That is your train.
我不会着急,Time's winged chariot.
我与你一起去吧,"I'll come with you, hmm?"
我不希望你去车站,"No, please, I don't want you..."
好吧，我送送你,Not... Not at the station.
真的要来？,"All right, darling. How often will you write?"
喜欢吗？,As often as I can. Do they read your letters?
我不想见你哭,They can't read English enough to hurt anything.
才不会,"Well, I'll make them very confusing."
早该与你同去,"But not too confusing. Oh, I should have got you a going-away gift."
会让你开心一下,A whistle to make you feel better in the dark.
你买的一定很便宜,Or a sword. I'm sure we could get a used sword very cheap.
真的？,Swords aren't very useful at the front.
别迟到了,"Oh, I see, they get in the way of your legs when you're running."
你是想让我...,"They might be useful at mess, though."
我得走了,"I'm afraid I have to start, darling."
真不想离开这儿,I hate to leave our fine house.
我也一样,So do I.
我们很快又会见面的,"We never stay settled very long in a home, do we?"
会的,We will.
我会为你安排一个好家,I'll have a fine home for you when you come back.
等你回来,"Say, ""I'll come back to Catherine."""
我会等你的,I'll come back to Catherine.
一直等下去,I'll always come back.
别再让自己受伤了,"Maybe this time, you'll be hurt just a little in the foot."
我希望你答应我,"- Or the lobe of the ear. - Oh, no, no, no. I want your ears just the way they are."
明白吗？,Your feet have been hurt already.
我想要张去瑞士的车票,"I want a ticket to Switzerland, please."
什么时候的？,"- To where, signora, to what town?"
越快越好,"- The nearest one to Italy. That would be Brissago, signora."
好吧我要快一点,- Then give me a ticket to Brissago. - All right. Oh...
我还以为你不来了怎么回事？,"Oh, Fergy, I was afraid you wouldn't come. Would you mind telling me what this is all about?"
我要走了,"- So I gathered by this, but where? - I'm going away."
我把这也带来了,Why?
我要去瑞士,"To Switzerland, to have a baby."
我要养小孩 你有麻烦了吗？,Oh.
不，不是的,I knew he'd get you in trouble.
到底怎么回事？,"Oh, now, it wasn't his fault, really, Fergy. What's he going to do about it?"
没什么，他没对你讲吗？,He doesn't know it.
那我能去什么地方？,You didn't tell him? What would be the good? It would only worry him.
他真的什么没说了,He'd have to go anyway. Aren't you going to tell him?
还没有，我等他从那儿回来,"Well, not yet. I may write him from Switzerland."
小姐，这个拿好多谢,"- You're a fool. - Here, signora."
为何要这么急？,- On Track 3. - Thank you.
我离不开丈夫,What's the hurry? Why tonight? I couldn't go back to that hospital.
可你该想清楚,I couldn't stand it. Not with him gone. But you'll be all alone in Switzerland.
不会有事的,"Don't worry, Fergy, I'll be all right."
我太担心你,"You're not afraid of anything, are you?"
那我还是快回医院去吧,Only of going back to that hospital.
别担心我,"Don't scold me, Fergy."
我与你同去,I'll carry it.
你这个疯狂的女孩,"""I've always told you I was a crazy girl."
我不想离你而去,"""I couldn't bear Milan with you away."
我尽量赶回,"""So I've chucked the war and come to live in this little Swiss town"
亲爱的，好好保重,"""as near as possible to the Italian border and you."
我在这儿一切安好,"""And, darling, it's an adorable place and we'll be very happy here. ""I've taken a suite..."
为你准备了最好的饭店,"""...suite in the best hotel."
你一定会喜欢的,"""And I'm fairly wallowing in luxury. ""The bed is Empire and fit for an empress."
我可以想像你的神情,"""There's a maroon velvet carpet, ankle-deep, ""and a bathroom... Oh, darling, the bathroom!"
是黑色的窗帘,"""It's of black marble with silver fittings."
我的起居室也换过了,"""I've just dined in state at my sitting-room window,"
可以见到长长的河流,"""from which there is a divine view of the lake shimmering in moonlight."""
我可不是傻瓜,"I'm an awful liar, darling."
那种地方会好到哪儿去？,It's not really a nice place at all.
不过我们住哪儿无关紧要,"It's mean, cheap and horrible."
真希望立刻看见你,"But it doesn't matter where I live, because I don't really live at all when I'm not with you."
我真的想告诉你...,"Oh, darling... What I really wanna tell you is that..."
我忍不住哭泣,"That I shall lie awake in the dark and cry, because you're not here."
怎么会这样？,I'm lonely and frightened.
你怎么了？,"- Hurry, baby."
该出发了去哪儿？,- Why? - Time to go. - Go where?
我说过多少次,"But I told you before, to the Villa Rossa."
只要你走，大家就走了,- New girls. Everybody's going.
这儿是你下决定,- Not me. But you must. It will be a fine party.
可我还得等一下,"And, besides, I said you would go. I can't. I've got to write a letter."
老天，你每天都写信,"Oh, to that little..."
这是我的事,"Every day, more letters. You might as well be married. That's my business."
宝贝，你得回到我们这一边,"Oh, baby. How you ever come back to me?"
这是人生大事,Serious like a shopkeeper with a liver.
没人会阻止你 拿开怎么...,Where is my war brother who used to get drunk with me and go to the Villa Rossa every night?
你会很快讨厌她,Why?
别把她扯进去,Isn't she just a girl? Keep her out of this.
听着，这是自然规律,"Sacred subject. Believe me, baby, sacred subjects are not good for soldiers."
会抽烟就行,Why don't you be like me? All fire and smoke.
我才不怕死 怎么样？,And nothing inside.
你喝多了,"- Come on, baby."
我当然喝多了,"- You're drunk, stop it."
有一天你也会的,"Of course I am drunk! You come with me and you will be drunk, too. Come on, baby."
对不起，你真的该走了,"Oh, I am sorry. Now you must come."
把手拿开,There is no more ink. Get your hands off me and get out!
可怜人只要你喝醉,Poor baby.
你就立刻离开这儿 这是你的问题了,Tomorrow I will get you drunk and I will take out your liver and I will put you in a good Italian liver and make a man of you again.
再见,"Ciao, baby."
你是这儿的主管吗？ 怎么？,"You're going out, Signor Capitano?"
有份电报等你签,"- Yes, why?"
先放一下对不起,"- The mail just came, Signor Capitano. - You censor it."
不过你先得看一下好吧,"- Signor capitano... The officers' mail, too?"
还要再加一点吗？ 不,"Aren't you gonna open them, Signor Capitano?"
我赶时间,No! I'm in a hurry.
把这封拿回去,- Send this one back.
我不希望他为女人而这样,"- Yes, Signor Capitano."
明白,"I do not like to see him lose his head over a woman. Yes, Signor capitano."
我快回去了回去？,And today my letters came back. Every one I'd ever written to her.
明天早上就出发,"Came back? Just marked ""Return to sender."
这可有点奇了,"Person unknown."" Well, that's very strange."
你不想回去,Thirty-two letters.
我说过的不行,"She never got one. - Well, that's why she never wrote you."
他已久不来信了,- No. She'd have written me anyway.
我也搞不懂,Something's happened to her. - Have you tried to...
我得自己查清楚,- I can't get any information at all.
我会自己去,- I've got to go and find her myself. - How can you? I'm going to Milan.
可能又要开战的,I'll find her. But aren't all leaves of absence forbidden since that battle in the north began?
我会去的会出事的,- I'm going anyway.
我不管,"- No, that's desertion."
你别发疯了我没有,"- I don't care, I'm going. - You'll be caught. - You mustn't do this, Frederico."
我早就想跟你说,"- Yes, I must. That's what I wanted to tell you, Padre."
战争对我们意味着什么？,What does this war mean to me any more?
这是朋友之谊吗？,"What does anything mean, but finding her?"
你细思考一下,"- But Frederico, consider the... - I can depend on you, Padre?"
说再见，即可 你什么意思？,Say goodbye to Rinaldi and the others for me.
就现在,- When are you leaving? - Now. While they are at dinner.
明天早上我会回去,"And by morning, when they miss me, I'll be halfway to Milan."
他们会让我作解释,"If they ask me, what will I say? I... Anything you like."
祝你好运,"Goodbye, Padre. Goodbye, Frederico."
祝顺利,May the Lord bless and preserve you.
今天就你一个人当班？,What are you carabinieri doing in the yards?
在找逃犯工作太多了,- Looking for stragglers. - What do you do with them?
每个人都得受此痛苦,Send them back to fight invaders. Every foot of Italian soil must be regained.
是吗？,Suppose they don't want to go back?
我去看看,Then we shoot them.
是谁？,- Catherine. - Who's that? Shh!
你回来干什么？,Where's Catherine? - What are you doing back here?
凯瑟琳在哪儿？,- Where's Catherine? I know.
她跑了,You've run away.
我得找她她在哪儿？,You're a deserter.
不行，她走了,- Where is she? I've got to see her. - You can't.
你最好出去,Where? - And you'd better get out.
她被转移了？,- Has she been transferred?
若你不走，我会大叫的,"- If you don't get out of here, I'll scream and bring the whole hospital down on you."
她去了哪儿？,- Why'd she go.
不知道,Where?
把手拿开，我会大叫的,Tell me. - No! - Tell me where she is!
你是怎么了？,You've done her enough harm.
我不想让她有麻烦,- What do you mean? - I said you'd get her into trouble.
也很恨你,"I hate you. Hate, you understand? I won't tell you anything."
我希望有人来抓你,Shh! I hope they catch you.
看你对她都做了些什么？,I hope they shoot you!
你让她怀孕了,Pay you back for what you've done to her. Making her have a baby.
怀孕？,- Baby?
我警告过你,"- I warned you, but you didn't care."
现在他不得不离开,Not about her. - Now she's had to go away.
她到底去哪儿了？,- Where? Where?
不...,"Oh, for pity's sake, tell me! Fergy! No, no!"
不知道,No!
怎么回事？,"No! - We're coming, too! - Be careful, girls."
我得老实说，弄点衣服来,Where is he? And get me some clothes.
这身制服不适合我,A full outfit.
我不想你加入这事,I can't go around in this uniform. As long as I don't get mixed up in it myself.
我可以在报上登个启事,"You won't. I just want you to get some things, and put an advertisement in the newspaper for me."
我可想不出什么好办法,"I really oughtn't to, if I had any sense."
先写吧,I know I shall have awful gas pains in the morning as a result of this.
凯瑟琳，你在哪儿？,Just say...
我来找你了,"""Catherine, where are you? ""I am free at last."
在斯翠沙饭店等我，法兰德,"""Meet me at the Palace Hotel, Stresa."" Signed ""Frederic."""
我看到了那一条,"The Major made an obituary speech in your memory and the Priest,"
不过你太天真了要点什么？,- he wanted to say mass for your soul.
来两份酒吧,- But what... Vermouth. One for you?
我们都对你很关心,"Uh, two vermouth. You see, we all thought you were dead."
也不希望以前的事再次发生,"It never occurred to us that you might have be shell-shocked, wandered away, lost your memory."
我明白,How did you find me?
你总是忘不了从胶 这是好事,I saw your advertisement in the paper.
不过幸运之神不一定会在你这边,"But as soon as we knew, we arranged everything."
你应该回来,Rinaldi will work on you one of his miraculous cures.
回来,You will go back a hero. I'm not going back. They will decorate you for bravery.
不，我已没有兴趣,They will even promote you. No. I'm through with the war.
好了，你看看在战时干了什么,Get that straight. But you cannot do that!
酒来了,"You cannot just stop and say, ""I'm through with the war."" - They will not let you do that. - Two vermouth."
还要点什么？,"Can I speak to you a moment, sir?"
现在不用那么...,"- It's all right, Harry, he's my friend. - But I, uh..."
我等不及了,He keeps telling me that it's dangerous for me to stay here any longer.
那么今晚怎么办？,The policeman was in tonight.
我还以为你已婚了,He spoke of notifying the carabinieri.
谁知道对方明天会不会来？,"- When will they come? - Tonight, tomorrow, who knows?"
女人都是这样的,"But soon. My boat is still ready, sir."
她们都已烦了我明白,"If they arrest you, no one can save you."
这样可不好,- I know that. - They will shoot you.
我不解决这事就不回去,"Look... Get this through your head, I'm not going back!"
我会一直在这儿等 等她回来,I've got to wait here until I can find Catherine.
你真希望会那样？,And how do you expect to do that?
人总有所追求,I've got some people looking for her.
这种事... 她已经有我的孩子了,- If that is more important than...
是我的孩子,- She's going to have a baby. My baby.
那是你的一切吗？,So...
是的，对我来说,"And that means everything to you. Yes, it would."
我得找到她 可能她已不在这儿,It means that I've got to find her and get her out of Italy.
怎么？,- Perhaps she's no longer in Italy. - What makes you say that?
她去了瑞士 哪儿？,She is in Switzerland.
利沙格,Where? - Brissago.
亨利,- Brissago? Harry!
可否为我来一张当然,"Will you do one for me, too?"
请坐,"Yes, madam. Step around here."
不，剪一个头即可,"No. Just the head, please."
有给我的信吗？,"Isn't there any mail for me, yet?"
对了，有许多给你的,"Ah, madam! Yes, yes."
有20份20份？,Today there are letters. - Many letters. - Many?
这些,"Well, that was worth waiting for..."
船会误点的,It is up the lake and across.
我只有这个办法了,- About 35 kilometres.
这么危险我明白,"- I'll make it. At the frontier, there will be sentries."
你得小心行驶,- I know. - And you will have to watch out - for patrol boats.
我不会淹死的,"- I will. - If it blows too hard, you... - I won't drown."
有钱吗？,Have you enough money?
需要吗？,Won't you need it?
谢谢你告诉我,There must be a Villa Rossa in Pordenone.
为了一个女人，我们还是朋友,Always the same girls until they become like old friends.
你拿着吧,"Like war comrades. Take it, baby, please."
你是个好人,"Please. You're a good egg, Rinin."
我不是好人,"No, I am not a good egg."
我是个傻瓜,I am a fool.
真舍不得你走,But if I had understood how you felt about her...
走好，宝贝,"Ciao, baby."
医生，现在怎么办？ 我也拿不定主意,"- Shall I get a new cylinder, Doctor?"
我想生下这个孩子,"- It is a new cylinder. Oh, I wanted so to have this baby and not make any trouble."
我的天！,And now I'm all done.
我的孩子,All gone to pieces.
她体力消耗太大,"She is losing strength fast, Doctor."
得先动手术了,There's no use. I'll have to operate.
算了吧法兰德,That was lovely...
你在哪儿？,"You mustn't worry, darling."
我现在不能死,I'm not going to die now.
我还不能死,I got past the place where I was going to die.
你在哪儿？,Aren't you glad?
你当然不会死,Of course you are not going to die.
不会的,You mustn't think about it.
他去了哪儿？,- It's a caesarean. - We're lucky to be on time.
她不会有事吧？ 你是她丈夫？ 是的,Is she going to be all right?
我们要马上动手术,- Are you the husband? - Yes. She kept calling for you all night.
手术？,It would have been better if you'd been here.
她有危险？,I'm sorry. Is she in danger?
现在吗？,"- She's very weak. - You don't suppose I could see her now? - Later, later."
你不能死,She can't die.
别吵,Did you call?
不，我没吵,"No, I didn't say anything."
你别进去,Not yet.
她不会有事吧？ 希望不会,- Is she all right?
那么婴儿呢？,- I hope so.
已经没希望了,"The baby? A boy, but he was dead before she ever came in here."
那么她呢？,Oh... But she'll be all right?
我们会尽力的,That's not in my hands any longer.
你要有心理准备,Better go across the street and get yourself some breakfast.
好好休息一下吧,You look as if you need it. It will be some time before she can see you.
这儿什么也没有小狗,"There's nothing there, dog."
你有孩子吗？ 长什么样？,You've had children?
你说什么？,What was it like? I beg your pardon? What did you say?
没什么对不起,"Nothing. Some coffee, please, and a brioche."
就这么活过来了,It's in the papers.
多谢上帝,Italy has won! Thank God it's over.
这可又要等上一段时间,This is the beginning of the end. But it will be a long time before they can rebuild what's been destroyed.
我们看到地上满是零部件,"""In the early morning hours of November 4th,"
这是杜乐乐将军的命令,"""the armistice conditions laid down by the General Badoglio."""
我的天,Don't let her die.
我该怎么面对,"Oh, God, please don't let her die."
我不想她离开,You took the baby... That was all right. But don't let her die.
你别死,"Please, dear God, don't let her die."
准备一下吧,Her husband's out there. Might as well let him in.
我还能活多久？,I knew he was coming.
告诉我,"You won't tell him, will you?"
我不想死,Tell him what? That I'm going to die.
你不会死,"- No, we won't tell him."
医生，看你的了,Doctor... Have I long?
这些，我...,Don't you see?
别担心,I have to know. Not long.
我该怎么办？,Let him come in.
我丈夫呢？,"Could I... Could I have my bag, first?"
这太好了,Oh! Such a mess.
我又找回了感觉,He never liked me to be pale.
你先进来吧,You can go in now.
凯瑟琳法兰德,- Catherine. - Darling.
你不会有事的我很好,- You're all right?
你一直在担心我？,- I'm fine. Did you worry about me?
我千里迢迢,I came as soon as I found where you were.
我太开心了,Poor darling. Let me look at you.
你会湿透了,Ah... Tut-tut. You're wet and tired.
坐下吧,"Sit down, darling. Here..."
你不会有事吧？,"You're going to be all right, Catherine."
你怎样了？,"Do you want me to do anything, Cat?"
我没事,- Can I get you anything?
只希望你长久留在这儿,- No. Just talk to me.
我会的，当然,Tell me you haven't stopped loving me.
只要有你陪着,You know I couldn't stop.
我会一直守着你,"I like to hear you say it, though. I'll never stop loving you."
惹我死去呢？,Never? Not even if I died?
不会,Never.
你会按我的要求去做吗？ 我会的,"You'd never do our things with any other girl, or say the same things, would you?"
我希望你可以听我话,"Never. I want you to have other girls, though."
当然,"That's right, dear. Try..."
宝贝，看着我,"Try to sleep, Cat."
我会好起来的,"When I get well, we'll..."
我有这信心,We'll take a little house in the mountains.
你真是的,"We always planned a house of our own, remember? I'll get you a fine house."
我很高兴战争已结束了,We'll live in it until the war is over.
而我们又可以再次团聚,Then you'll go back to America and be a splendid architect.
那是我们的幸福,We'll be married all over again.
当然,In a church. In a church.
亲爱的，我不想死 别让我死,"Oh, darling!"
抱紧我，抱紧我,I don't wanna die. - Don't let me die. - Cat!
我不想失去这一刻,"Take me in your arms, hold me tight. - Don't let me go. - Catherine."
我等了好久,"It's dark out there, and lonely. I don't wanna leave you any more."
你不能死，不能死,I've been alone so much. You... You can't die.
你是个勇敢的女孩,You're a fine girl. A brave girl. Yes.
我勇敢吗？ 你一直很勇敢,I am a brave girl.
是吗？,"Whatever happens, do not be afraid."
我不会抛下你,I'll not be afraid.
会一直守着你,We've never been apart. Really.
无人能及,Not since we met. Not since we met.
什么？,And never can be.
直到我们终老,- Never parted. - In life and in death.
直到死也不分离,"Say it, Cat."
我们会生活下去,"In life and in death, we'll never be parted. You do believe that, don't you, Cat?"
你信吗？,I believe it.
我想是的,And I'm not afraid.
求求你！,Peace...
- 您好.,- Hello.
這是大飯店.,Grand Hotel.
- 電話占線.,- The line is busy.
你找誰?,Who is this?
我幫你轉到客房服務部.,I can connect you with room service.
你好.,Hello.
這是門診部嗎?,Is that the clinic?
"我是森福, 大飯店行李房領班.","This is Senf, the head porter, Grand Hotel."
我老婆怎麼樣了?,How's my wife?
她還在痛嗎?,Is she in pain?
孩子是不是快生出來了?,Isn't the child coming soon?
耐心?,Patience?
這時候你會有耐心嗎?,Would you have patience?
我是奧圖·克林格蘭.,This is Otto Kringelein.
"是你嗎, 海因裏希?","Is that you, Heinrich?"
聽著.,Listen.
我得快點說.,I've got to talk very quickly.
這每分鐘得花2.9馬克.,Every minute costs 2 marks 90.
你知道在我手術之前 我簽的協議嗎?,You know that will I made before I had my operation?
我要你把它撕了.,I want you to tear it up.
"我來柏林找了個很有名的專家, 讓他看看我的老毛病, 你知道嗎?","I came to Berlin to see a great specialist about that old trouble of mine, you know?"
"真不幸, 他說我來日不多了.","It's pretty bad, and he says I haven't long to live."
"聽著, 他說我活不了幾天了!","I say, he says I won't live much longer!"
"不, 像這樣的事也不好說.","No, it isn't nice to be told things like that."
"瘟疫, 煩惱, 一下子你要死了.","You plague, bother, and save, and all of a sudden you're dead."
我想好好享受一下生活.,I want to get something out of life.
我不會回弗裏德斯多夫 (德國城市)了.,I'm never going back to Friedersdorf.
再也不回去了.,Never.
我會住在這個大飯店.,I'm staying here at the Grand Hotel.
這是柏林最貴的飯店.,It's the most expensive hotel in Berlin.
所有的名流都會住在這兒.,All the best people stay here.
"就是我們的大老闆, 普萊辛格, 也住在這兒.","Even our big boss, Preysing, is staying here."
我要找時間跟他談談 我對他的真實的看法.,I'm going to tell him someday just exactly what I think of him.
"你好, 小姐.","Hello, miss."
我是普萊辛格總經理.,This is General Director Preysing.
請接我在弗裏德斯多夫的家.,"I want my home in Friedersdorf, please."
快點.,Hurry.
"是你嗎, 孩子他媽?","Is that you, Mama?"
孩子們好嗎?,How are the children?
"工廠有什麼消息沒有, 親愛的?","What news have you from the factory, dear?"
爸爸在嗎?,Is your papa there?
好.,Good.
"您好, 爸爸, 是你嗎?","Hello, Papa, is that you?"
"和薩克遜尼亞公司的會議安排在 明天上午, 爸爸.","The conference with the Saxonia company is set for tomorrow morning, Papa."
"如果合併計劃沒有通過, 我們就會有麻煩了, 爸爸.","If the merger does not go through, we are in very bad shape, Papa."
所有事都依賴於曼徹斯特那邊的消息.,Everything depends upon news from Manchester.
"要是和曼徹斯特棉花公司的定單 沒有拿下來的話, ... 我們的處境會很糟, 爸爸.","If the deal with the Manchester Cotton Company does not go through... we're facing a very bad situation, Papa."
"我是蘇珊蒂, 格魯辛斯卡婭 夫人的女僕.","I'm Suzette, Mme. Grusinskaya's maid."
夫人今天不去跳舞了.,Madame will not dance today.
她不會去排練了.,She will not go to the rehearsal.
她昨天一晚上也沒有睡.,She did not sleep all night.
有些事情一直在折磨她.,There is something preying on her mind.
"我給她吃了片藥, 佛羅拿(安眠藥之類的).","I gave her a tablet, a Veronal."
"現在, 她睡著了.",She's sleeping now.
我是馮蓋根男爵.,This is Baron von Geigern.
"聽著, 我需要錢, 要不我在這個飯店裏住不下去了.","Look here, I need money, or I can't stay at this hotel much longer."
我已經做好準備工作了.,I've laid the groundwork.
我知道她住在哪個房間.,I know the exact position of her room.
